date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:04:06	100771/100771	---M--	200	added ('OK')	text/html	etag:%224be1667-189a3-5661eb4c94e57%22	http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/index.html	E:/webs/http___kalanidhithemes.com_live-preview_landing-page_smart-app-landing-page_all-demo_default-version-purple-blue-gredient_index.html/web/index.html	(from )
08:04:06	684/684	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2031%20Jul%202018%2006:04:09%20GMT	http://kalanidhithemes.com/robots.txt		(from )
08:04:07	1338/1338	---M--	200	added ('OK')	image/png	etag:%224be2f7d-53a-5661ebdcbd916%22	http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/images/logo.png	E:/webs/http___kalanidhithemes.com_live-preview_landing-page_smart-app-landing-page_all-demo_default-version-purple-blue-gredient_index.html/web/png/logo.png	(from http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/index.html)
08:04:08	121260/121260	---M--	200	added ('OK')	text/css	etag:%224be2f49-1d9ac-5661eb99859cf%22	http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/css/bootstrap.min.css	E:/webs/http___kalanidhithemes.com_live-preview_landing-page_smart-app-landing-page_all-demo_default-version-purple-blue-gredient_index.html/web/css/bootstrap.min.css	(from http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/index.html)
08:04:10	29063/29063	---M--	200	added ('OK')	text/css	etag:%224be2f4a-7187-5661eb997c55f%22	http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/css/font-awesome.min.css	E:/webs/http___kalanidhithemes.com_live-preview_landing-page_smart-app-landing-page_all-demo_default-version-purple-blue-gredient_index.html/web/css/font-awesome.min.css	(from http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/index.html)
08:04:11	1767/1767	---M--	200	added ('OK')	text/css	etag:%224be2f4c-6e7-5661eb99bbcfe%22	http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/css/icomoon.min.css	E:/webs/http___kalanidhithemes.com_live-preview_landing-page_smart-app-landing-page_all-demo_default-version-purple-blue-gredient_index.html/web/css/icomoon.min.css	(from http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/index.html)
08:04:11	17216/17216	---M--	200	added ('OK')	text/css	etag:%224be2f4e-4340-5661eb9a13755%22	http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/css/swiper.min.css	E:/webs/http___kalanidhithemes.com_live-preview_landing-page_smart-app-landing-page_all-demo_default-version-purple-blue-gredient_index.html/web/css/swiper.min.css	(from http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/index.html)
08:04:13	101791/101791	---M--	200	added ('OK')	text/css	etag:%224be2f4d-18d9f-5661eb9a7ee14%22	http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/css/style.css	E:/webs/http___kalanidhithemes.com_live-preview_landing-page_smart-app-landing-page_all-demo_default-version-purple-blue-gredient_index.html/web/css/style.css	(from http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/index.html)
08:04:14	23848/23848	---M--	200	added ('OK')	text/css	etag:%224be2f48-5d28-5661eb98d0379%22	http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/css/animate.css	E:/webs/http___kalanidhithemes.com_live-preview_landing-page_smart-app-landing-page_all-demo_default-version-purple-blue-gredient_index.html/web/css/animate.css	(from http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/index.html)
08:04:15	2777/2777	---M--	200	added ('OK')	text/css	etag:%224be2f4b-ad9-5661eb99abf16%22	http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/css/google-fonts.css	E:/webs/http___kalanidhithemes.com_live-preview_landing-page_smart-app-landing-page_all-demo_default-version-purple-blue-gredient_index.html/web/css/google-fonts.css	(from http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/index.html)
08:04:17	827/827	---M--	200	added ('OK')	image/png	etag:%224be2f8a-33b-5661ec2c44645%22	http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/images/store-google-icon.png	E:/webs/http___kalanidhithemes.com_live-preview_landing-page_smart-app-landing-page_all-demo_default-version-purple-blue-gredient_index.html/web/png/store-google-icon.png	(from http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/index.html)
08:04:19	11909/11909	---M--	200	added ('OK')	image/png	etag:%224be2f6c-2e85-5661ebb0b5a14%22	http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/images/feature1.png	E:/webs/http___kalanidhithemes.com_live-preview_landing-page_smart-app-landing-page_all-demo_default-version-purple-blue-gredient_index.html/web/png/feature1.png	(from http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/index.html)
08:04:19	9362/9362	---M--	200	added ('OK')	image/png	etag:%224be2f6d-2492-5661ebb0b6d9c%22	http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/images/feature2.png	E:/webs/http___kalanidhithemes.com_live-preview_landing-page_smart-app-landing-page_all-demo_default-version-purple-blue-gredient_index.html/web/png/feature2.png	(from http://kalanidhithemes.com/live-preview/landing-page/smart-app-landing-page/all-demo/default-version-purple-blue-gredient/index.html)
